post_id,title,category,score,num_comments,author,collected_at
47632805,"Claude AI finds Vim, Emacs RCE bugs that trigger on file open",technology,12,1,akyuu,2026-04-05 15:51:34.178541
47616665,Group Pushing Age Verification for AI Turns Out to Be Backed by OpenAI,technology,53,6,SilverElfin,2026-04-05 15:51:39.096352
47622591,Jobs Being Created by AI,technology,5,1,Jimmc414,2026-04-05 15:51:42.678469
47618123,Priced Out by AI: The Memory Chip Crisis Hitting Every Consumer,technology,6,0,dxs,2026-04-05 15:51:45.025994
47622496,"Run a Local LLM, and discover why LLMs are unpredictable",technology,8,0,mooreds,2026-04-05 15:51:47.387264
47617463,Users say Adobe Creative Cloud rewrote hosts file to detect installed app,technology,67,12,bobsoap,2026-04-05 15:51:52.196088
47621937,Show HN: A Minimal Basic Inspired by Brainfuck,technology,9,0,ADavison2560,2026-04-05 15:51:54.559090
47613156,ReactOS Shows Improved Stability and 64-Bit Support at Chemnitz Linux Days 2026,entertainment,70,26,jeditobe,2026-04-05 15:51:57.854657
47624865,"OpenUMA – bring Apple-style unified memory to x86 AI inference (Rust, Linux)",technology,6,0,hamtun24,2026-04-05 15:52:01.583753
47638640,AI Whiz Kids Dropped Out of College and Got Investors to Pay Their Bills,technology,6,2,cebert,2026-04-05 15:52:03.877174
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,85,120,vrganj,2026-04-05 15:52:09.300972
47599956,Show HN: Sycamore – next gen Rust web UI library using fine-grained reactivity,technology,95,74,lukechu10,2026-04-05 15:52:11.817984
47635558,Netflix just dropped their first public model on Hugging Face: VOID,entertainment,15,1,rajtilakjee,2026-04-05 15:52:15.917087
47604768,Comparing C/C++ unity build with regular build on a large codebase (2024),technology,12,5,PaulHoule,2026-04-05 15:52:18.424845
47608155,"ZomboCom stolen by a hacker, sold, now replaced with AI-generated makeover",technology,76,37,bananaboy,2026-04-05 15:52:22.308048
47625860,Ubuntu now has higher system hardware requirements than Windows 11,worldnews,24,9,bundie,2026-04-05 15:52:36.687679
47602277,Samsung's Blood Pressure Monitoring Feature Now Available,technology,11,3,brandonb,2026-04-05 15:52:39.017642
47645448,Budget cuts for US science proposed again by Trump administration,technology,7,0,bhouston,2026-04-05 15:52:43.853256
47623708,I used AI. It worked. I hated it,technology,14,4,signa11,2026-04-05 15:52:46.169618
47619138,Vitalik Buterin: My self-sovereign/local/private/secure LLM setup,technology,7,0,aragonite,2026-04-05 15:52:48.617792
47609425,Show HN: We open-sourced our content writing workflow as a Claude Code skill,technology,18,8,arximughal,2026-04-05 15:52:51.291525
47609372,"Show HN: Semantic atlas of 188 constitutions in 3D (30k articles, embeddings)",entertainment,12,4,joaoli131,2026-04-05 15:52:55.152103
47630141,Quantum computer researchers: Bitcoin encryption breakable in a few years,technology,15,7,croes,2026-04-05 15:53:00.561184
47608130,Montana referendum to outlaw corporate campaign contributions [video],technology,63,16,le-mark,2026-04-05 15:53:09.429952
47642779,Big Banks Seeking a Piece of SpaceX's IPO Must Subscribe to Elon Musk's Grok,science,11,0,codydh,2026-04-05 15:53:15.150648
47619322,A $20/month user costs OpenAI $65 in compute. AI video is a money furnace,technology,76,42,Aedelon,2026-04-05 15:53:17.608699
47620426,Amazon data center in Bahrain attacked by Iranian Revolutionary Guards,technology,25,5,topherPedersen,2026-04-05 15:53:20.065640
47607211,Wikidata: WikiProject Ontology/Ontology Course,technology,10,2,taubek,2026-04-05 15:53:22.723864
47592392,Show HN: EU Leadership – Live API data site comparing Europe to the world,technology,34,16,aureljohn,2026-04-05 15:53:27.946023
47615058,Old code never dies: why legacy software is often safer than new code,technology,6,0,speckx,2026-04-05 15:53:30.475651
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-05 15:53:34.180147
47633226,Meta Pauses Work with Mercor After Data Breach Puts AI Industry Secrets at Risk,technology,11,1,srameshc,2026-04-05 15:53:39.654242
47613668,Show HN: Abject: the first self-aware object runtime,worldnews,10,3,mempko,2026-04-05 15:53:42.310139
47633150,The Subprime AI Crisis Is Here,technology,51,24,dmitrygr,2026-04-05 15:53:44.809082
47637013,MIT study challenges AI job apocalypse narrative,technology,5,2,TMWNN,2026-04-05 15:53:47.508549
47621557,Show HN: SkiFlee (an HTML5 game),sports,8,9,BSTRhino,2026-04-05 15:53:50.065296
47591834,Do LLMs Break the Sapir-Whorf Hypothesis?,technology,15,7,dot_treo,2026-04-05 15:53:57.090857
